User ID,Allocation Status,Slice,Ground Truth,Intent Correct,CQI,Bandwidth (MHz),Rate (Mbps),Latency (ms),Adjustments Made,eMBB Total Rate Before (Mbps),eMBB Total Rate After (Mbps),URLLC Total Rate Before (Mbps),URLLC Total Rate After (Mbps),mMTC Total Rate Before (Mbps),mMTC Total Rate After (Mbps),Avg Resource Util Before (%),Avg Resource Util After (%),Request
1,Failed,Failed,URLLC,N/A,7,N/A,N/A,N/A,No,0,0,0,0,0,0,0.0,0.0,I need to synchronize distributed financial ledgers instantly
2,Failed,Failed,eMBB,N/A,7,N/A,N/A,N/A,No,0,0,0,0,0,0,0.0,0.0,I want to use augmented reality navigation
3,Failed,Failed,eMBB,N/A,10,N/A,N/A,N/A,No,0,0,0,0,0,0,0.0,0.0,I want to listen to low-quality audio streaming
4,Failed,Failed,eMBB,N/A,8,N/A,N/A,N/A,No,0,0,0,0,0,0,0.0,0.0,I need to participate in a video conference meeting
5,Failed,Failed,URLLC,N/A,9,N/A,N/A,N/A,No,0,0,0,0,0,0,0.0,0.0,I need to deploy early warning systems for natural disasters
6,Failed,Failed,mMTC,N/A,7,N/A,N/A,N/A,No,0,0,0,0,0,0,0.0,0.0,My smart trash can needs to signal that it's full
7,Failed,Failed,eMBB,N/A,8,N/A,N/A,N/A,No,0,0,0,0,0,0,0.0,0.0,I need to download large files
8,Failed,Failed,mMTC,N/A,7,N/A,N/A,N/A,No,0,0,0,0,0,0,0.0,0.0,I need to check the status of my smart home sensors
9,Failed,Failed,URLLC,N/A,7,N/A,N/A,N/A,No,0,0,0,0,0,0,0.0,0.0,I need microsecond-level latency for high-frequency tradin
10,Failed,Failed,eMBB,N/A,10,N/A,N/A,N/A,No,0,0,0,0,0,0,0.0,0.0,I need to download large files
11,Failed,Failed,URLLC,N/A,11,N/A,N/A,N/A,No,0,0,0,0,0,0,0.0,0.0,I need vehicle-to-vehicle collision avoidance systems
12,Failed,Failed,eMBB,N/A,15,N/A,N/A,N/A,No,0,0,0,0,0,0,0.0,0.0,I need to use cloud-based AI services for image processing
13,Failed,Failed,URLLC,N/A,10,N/A,N/A,N/A,No,0,0,0,0,0,0,0.0,0.0,I need to control remote diagnostic equipment in rural clinics
14,Failed,Failed,mMTC,N/A,9,N/A,N/A,N/A,No,0,0,0,0,0,0,0.0,0.0,I need to monitor soil moisture levels in a large farm
15,Failed,Failed,URLLC,N/A,15,N/A,N/A,N/A,No,0,0,0,0,0,0,0.0,0.0,I need to control precision CNC machines with zero tolerance for delay
16,Failed,Failed,mMTC,N/A,6,N/A,N/A,N/A,No,0,0,0,0,0,0,0.0,0.0,Smart city parking sensor reporting availability
17,Failed,Failed,eMBB,N/A,13,N/A,N/A,N/A,No,0,0,0,0,0,0,0.0,0.0,I need to check weather forecasts
18,Failed,Failed,URLLC,N/A,11,N/A,N/A,N/A,No,0,0,0,0,0,0,0.0,0.0,I need my autonomous vehicle to communicate in real time
19,Failed,Failed,URLLC,N/A,5,N/A,N/A,N/A,No,0,0,0,0,0,0,0.0,0.0,I need to detect and isolate power grid faults instantly
20,Failed,Failed,URLLC,N/A,12,N/A,N/A,N/A,No,0,0,0,0,0,0,0.0,0.0,I need reliable connectivity for implanted medical devices
21,Failed,Failed,mMTC,N/A,12,N/A,N/A,N/A,No,0,0,0,0,0,0,0.0,0.0,I need to track the location of a shipping container
22,Failed,Failed,URLLC,N/A,6,N/A,N/A,N/A,No,0,0,0,0,0,0,0.0,0.0,I need instant alerts for life-threatening patient conditions
23,Failed,Failed,eMBB,N/A,8,N/A,N/A,N/A,No,0,0,0,0,0,0,0.0,0.0,I want to stream music while browsing social media
24,Failed,Failed,mMTC,N/A,7,N/A,N/A,N/A,No,0,0,0,0,0,0,0.0,0.0,A network of environmental sensors needs to report air quality
25,Failed,Failed,eMBB,N/A,15,N/A,N/A,N/A,No,0,0,0,0,0,0,0.0,0.0,I want to remotely access my work computer
26,Failed,Failed,eMBB,N/A,9,N/A,N/A,N/A,No,0,0,0,0,0,0,0.0,0.0,I want to stream a live sports event in HD
27,Failed,Failed,mMTC,N/A,9,N/A,N/A,N/A,No,0,0,0,0,0,0,0.0,0.0,My smart meter needs to report its reading
28,Failed,Failed,mMTC,N/A,6,N/A,N/A,N/A,No,0,0,0,0,0,0,0.0,0.0,I need to check the status of my smart home sensors
29,Failed,Failed,URLLC,N/A,13,N/A,N/A,N/A,No,0,0,0,0,0,0,0.0,0.0,I need to control critical infrastructure with zero downtime
30,Failed,Failed,eMBB,N/A,8,N/A,N/A,N/A,No,0,0,0,0,0,0,0.0,0.0,I need to check weather forecasts

SUMMARY STATISTICS
Average Resource Utilization (%),0.00
Final Resource Utilization (%),0.00
Final eMBB Total Rate (Mbps),0.00
Final URLLC Total Rate (Mbps),0.00
Final mMTC Total Rate (Mbps),0.00

INTENT UNDERSTANDING EVALUATION
Total Evaluated Requests,0
Correctly Identified Intents,0
Intent Understanding Rate (%),0.00
