RX_ID,X,Y,Z,SNR_dB,RX_Power_dBm,CQI,LOS,User_Request,Request_Label
1,-19.46,-277.19,1.50,33.95,-59.04,15,0,I need to check weather forecasts,eMBB
2,180.17,-102.36,1.50,-2.60,-95.59,4,0,I need to stream 8K video content,eMBB
3,-115.95,-323.81,1.50,38.12,-54.87,15,0,I want to listen to low-quality audio streaming,eMBB
4,-79.00,-473.63,1.50,11.96,-81.03,9,0,I want to browse websites and check email,eMBB
5,-190.58,-283.76,1.50,18.33,-74.66,11,0,I want to monitor my home security cameras remotely,eMBB
6,-173.52,-351.04,1.50,20.37,-72.62,12,0,I need to participate in a video conference meeting,eMBB
7,134.52,-424.73,1.50,4.34,-88.65,6,0,I need to monitor water level in a reservoir,mMTC
8,34.40,-437.18,1.50,11.93,-81.06,9,0,I need reliable communication for firefighters inside buildings,URLLC
9,-154.37,-251.46,1.50,22.42,-70.57,12,0,I want to update my social media status,eMBB
10,-153.66,-356.93,1.50,23.51,-69.48,13,0,I want to update my social media status,eMBB
11,-62.36,-228.25,1.50,27.46,-65.53,14,0,I need vehicle-to-vehicle collision avoidance systems,URLLC
12,151.86,-487.10,1.50,0.20,-92.79,5,0,I need to sync my calendar and contacts,eMBB
13,176.80,-461.96,1.50,-0.24,-93.23,4,0,I need immediate machine shutdown capability for safety incidents,URLLC
14,-106.76,-1.13,1.50,-1.61,-94.60,4,0,I want to use holographic communication,eMBB
15,-239.61,-191.31,1.50,7.19,-85.80,7,0,I need to use maps for basic navigation,eMBB
16,91.72,-239.92,1.50,10.68,-82.31,8,0,I want to use remote surgery equipment,URLLC
17,-175.84,-488.35,1.50,6.92,-86.07,7,0,I need to participate in a video conference meeting,eMBB
18,212.83,-227.10,1.50,-0.51,-93.50,4,0,I need to control precision CNC machines with zero tolerance for delay,URLLC
19,37.77,-376.54,1.50,17.60,-75.39,11,0,I need to use cloud-based AI services for image processing,eMBB
20,-55.18,-157.20,1.50,13.80,-79.19,9,0,I need instant alerts for life-threatening patient conditions,URLLC
21,121.10,-364.70,1.50,7.95,-85.04,7,0,My smart agriculture sensor needs to report soil temperature,mMTC
22,-30.13,-153.92,1.50,12.75,-80.24,9,0,I need to synchronize multiple robots on a factory floor,URLLC
23,-178.37,-7.80,1.50,-2.31,-95.29,4,0,I need to control a robotic arm in real time,URLLC
24,-145.64,-60.41,1.50,2.23,-90.76,5,0,I need to detect and isolate power grid faults instantly,URLLC
25,198.87,-40.24,1.50,-6.04,-99.03,2,0,A network of environmental sensors needs to report air quality,mMTC
26,193.65,38.21,1.50,-9.02,-102.01,1,0,A fleet of delivery drones needs to send low-rate telemetry data,mMTC
27,-273.32,-243.49,1.50,6.43,-86.56,7,0,My smart meter needs to report its reading,mMTC
28,-218.54,18.00,1.50,-4.81,-97.80,3,0,Industrial equipment monitoring sensor data,mMTC
29,-83.41,-464.42,1.50,13.15,-79.84,9,0,My smart agriculture sensor needs to report soil temperature,mMTC
30,88.92,-390.56,1.50,10.28,-82.71,8,0,I want to use remote surgery equipment,URLLC
